,hour,SegmentOffer,SegmentDispatch,SegmentEmissions,Commitment,Startup,Shutdown,MaxDual,MinDual,DMaxDual,DMinDual,RampMaxDual,RampMinDual,StartShutDual,Zone,LMP,MarginalCost,Profit,PreviousOffer,AvailableSegmentCapacity
322_CT_6-0,1,23.334982,22.000000,7.068682,1.000000,0.000000,0.000000,0.000000,653039.735643,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,23.334982,-14366874.184167998,23.334982,22.000000
322_CT_6-1,1,23.334982,11.000000,3.534341,1.000000,0.000000,0.000000,0.000000,653039.735643,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,23.334982,-7183437.092083999,23.334982,11.000000
322_CT_6-2,1,26.499179,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653042.899840,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,26.499179,-0.0,26.499179,11.000000
322_CT_6-3,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653044.295352,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,27.894691,-0.0,27.894691,11.000000
323_CC_1-0,1,26.429209,8.813845,3.207435,1.000000,0.000000,0.000000,0.000000,999994.701719,0.000000,0.000000,0.000000,0.000000,0.000000,323,-999968.272510,26.429209,-8813798.3017725,26.429209,170.000000
323_CC_1-1,1,26.429209,61.666667,22.441036,1.000000,0.000000,0.000000,0.000000,999994.701719,0.000000,0.000000,0.000000,0.000000,0.000000,323,-999968.272510,26.429209,-61666340.2726699,26.429209,61.666667
323_CC_1-2,1,30.277557,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,999998.550067,0.000000,0.000000,0.000000,0.000000,0.000000,323,-999968.272510,30.277557,-0.0,30.277557,61.666667
323_CC_1-3,1,31.727490,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,323,-999968.272510,31.727490,-0.0,31.727490,61.666667
323_CC_2-0,1,26.429209,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,999994.701719,0.000000,0.000000,0.000000,0.000000,0.000000,323,-999968.272510,26.429209,-0.0,26.429209,170.000000
323_CC_2-1,1,26.429209,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,999994.701719,0.000000,0.000000,0.000000,0.000000,0.000000,323,-999968.272510,26.429209,-0.0,26.429209,61.666667
323_CC_2-2,1,30.277557,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,999998.550067,0.000000,0.000000,0.000000,0.000000,0.000000,323,-999968.272510,30.277557,-0.0,30.277557,61.666667
323_CC_2-3,1,31.727490,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,323,-999968.272510,31.727490,-0.0,31.727490,61.666667
322_HYDRO_1-0,1,0.000000,36.575000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-23884074.85421265,0.000000,36.575000
322_HYDRO_1-1,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
322_HYDRO_1-2,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
322_HYDRO_1-3,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
322_HYDRO_2-0,1,0.000000,36.575000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-23884074.85421265,0.000000,36.575000
322_HYDRO_2-1,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
322_HYDRO_2-2,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
322_HYDRO_2-3,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
322_HYDRO_3-0,1,0.000000,36.575000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-23884074.85421265,0.000000,36.575000
322_HYDRO_3-1,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
322_HYDRO_3-2,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
322_HYDRO_3-3,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
322_HYDRO_4-0,1,0.000000,36.575000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-23884074.85421265,0.000000,36.575000
322_HYDRO_4-1,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
322_HYDRO_4-2,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
322_HYDRO_4-3,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653016.400662,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,0.000000,-0.0,0.000000,0.000000
301_CT_1-0,2,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,766806.243717,0.000000,1000000.000000,0.000000,0.000000,0.000000,301,-1766718.987926,87.255791,-0.0,87.255791,8.000000
